"<empty_1>","Word","Example","Class"
1645,"ak","1. Misspelled form of the term 'ahk.' ;; see also: ahk",2
1646,"pycho","see: nutcase, klingon ;; 1. n. person that wont leave your house, even when asked to go away. ;; 2. v. when you see your girl, getting way to close to smashin yo shit, all bacuse she found panties in yo couch that belong to somone else.",2
1647,"jettison","1. To leave a location. ;; 2. To quickly depart from a location. ;; see also: jet",2
1648,"nutcase","1. a sack for holding nuts ;; 2. a sack for holding yo nuts ie. balls ;; 3. see pycho",2
1649,"be out","1. To leave a location. ;; 2. To quickly depart from a location.",2
1650,"fucktart","Synonymous with 't00l'",2
1651,"fucktart","Synonymous with 'asswipe'. A word that describes a stuck-up, know-it-all adulterer.",2
1652,"fucktart","A FUCKTART is someone who leaves you with literally a sour taste in your mouth after they leave your presence and who generally needs to have themselves FUCKED.",2
1653,"Good Game","GG = good game, also used in the context of 'get lost, you suck, hahaha omg you suck, your finished, etc. etc.' and all other such ways of completely degrading someone who has just lost, either in a game, or in life in general ;; See 'GG'",2
1654,"GG","GG = good game, also used in the context of 'get lost, you suck, hahaha omg you suck, your finished, etc. etc.' and all other such ways of completely degrading someone who has just lost, either in a game, or in life in general ;; See 'Good Game'",2
1655,"fuff","See (pfft) ;; 1. An expression of dismissal of another's comment. ;; 2. The sound of a silent and deadly rectal emission.",2
1656,"Rofolio","Origin: Typo converted into useful new (and Mexican-sounding) phrase for e-tards ;; It's like ROFL but much much stronger, when you actually wake the neigbors ;; Se Habla Espanol",2
1657,"Doh!","An Annoyed Grunt",2
1658,"One","'Goodbye' ;; Shortened form of 'One Love'",2
1659,"chitties","Its when girls have tits that look big, but they are just chub, not real tits.",2
1660,"dope","hate",2
1661,"eye candy","Women that are HOT and you can't take you eyes off of them. Like a kid in a candy store.",2
1662,"ice grill","1. A particularly dirty look. ;; 2. A mean, hard, cold or otherwise uncarring facial expression. ;; see also: mad face",2
1663,"ox","1. A box cutter or razor carried as a weapon.",2
1664,"buck fifty","1. A long slash like scar or wound left on a victims face after being attacked with a box cutter or razor. ;; see also: ox",2
1665,"ish","1. Slang term often used to replace 'shit.' Derived from the process of editing the vocals of rap-songs by revershing the curse words so said song could be played on radio or television.",2
1666,"homophobe","n. One with an irrational fear of homosexuality and homosexuals. For the most part these people seem to have little actual experience with the aforementioned. ;; We fear what we do not understand.",2
1667,"Quim","1)Female genitalia ;; 2)Isadora Wing's front license plate on her Mercedes in 'Any Woman's Blues' by Erica Jong.",2
1668,"feck","verb, to steal. Old Dublin word, and not a corruption of the 'other one'!",2
1669,"A+","A grade I will never get in school.",2
1670,"Enron","1. (n) A company that got [fucked] by Ken Lay and his butbuddies. ;; 2. (a) A way of saying that someone/thing is going to go bankrupt.",2
1671,"bitch face","1) Someone who annoys the hell out of you. 2) Any ugly chick",2
1672,"crimin'","The art of engaging in mischevious behavior that often is misconstrued as a common crime.",2
1673,"homicide bomber","Synonym of [suicide bomber]. Recent media variation on the term [suicide bomber] to reflect the fact that bombers often kill other people besides his/herself in the act of detonation.",2
1674,"qwerty","Type of keyboard layout. home row is asdf jkl;",2
1675,"gtg","Got to go",2
1676,"l8r","Later",2
1677,"lo","typo, ment LOL, lo sometimes sounds cooler to say than lol. Means laough out loud.",2
1678,"SMURFING","A cheesy dance that was popular in the late 80's",2
1679,"diggity dank","The best of the kind",2
1680,"cha chi","A guy that has let his nice physique and good looks go to his head-once that happens, all brain cells are non-existent.",2
1681,"fizza-my-nizza","To make your presence known, in a fashionable form.",2
1682,"SHIV","1) Slang for a knife or any other small cutting/stabbing weapon, often homemade; think inmates with sharpened toothbrushes. ;; 2) The act of utilising the aforementioned small cutting/stabbing weapon to cut/stab someone.",2
1683,"pillowbiter","One who bites pillows; colloquialism for any individual who is a recipient of anal sex, most often derogatory in nature.",2
1684,"pimp juice","any thing that attracts the opposite sex, it could be money fam or straight intellect",2
1685,"Shizzem","(1)Word that can be used for excitement,anger. ;; (2)To take a crap",2
1686,"Soup Ass","When one sits in a place for a long time and his or her buttox area becomes sweaty.",2
1687,"biscuits","tore up shoes",2
1688,"whassup","[slang] A question as to the state of somebody's well being; a warm greeting; a slang version of the question 'what is up?'",2
1689,"bitslap","Revoke a computer account, or punish the user of a computer or network. ;; Origin: Gaelic/Indo-European from baertslaepe, 6th century, BC",2
1690,"snay","To play mind games with.",2
1691,"feel","to understand; relate",2
1692,"Buttnaked","Not wearing underware.",2
1693,"Buttnaked","Not wearing underware.",2
1694,"hinie","",2
1695,"barbs","marijuana",2
1696,"Primaris","Primaris ;; Primaris > Dajuda",2
1697,"hanky","a slang for the word 'poo', and is offten used in the phrase ' i have to go drop mad hanky'",2
1698,"hoof","walk",2
1699,"nonnock","A bizarre insult that doesn't have any particular relevance",2
1700,"numpty","An idiot, a silly person",2
1701,"chuff","A fart; passed wind",2
1702,"grolly","a wad of mucus from the nose",2
1703,"spanner","(UK) spastic; person of mental retardation, Down's Syndrome, etc.",2
1704,"gobshite","Loud-mouthed person who talks a lot, but nothing with any value - as in shite coming out of their gob",2
1705,"dickcheese","Smegma; white buildup on the head of a penis",2
1706,"baka","Japanese word, meaning 'idiot'",2
1707,"turd burglar","(UK) Slang for homosexual.",2
1708,"fisting","The process of inserting a fist up someone's rectum to achieve sexual stimulation",2
1709,"rox0r","(1337) Means 'rocks' in 1337-speak",2
1710,"super cheese","Awarded to a player who finishes off an opponent who is blocking, in a game of Street Fighter",2
1711,"nonce","(UK) Slang for paedophile.",2
1712,"taxed","have sex with, to sex up (see example)",2
1713,"Herm","An extreme nerd or dork",2
1714,"notcha","the bit between your balls and anus ;; notcha balls and notcha arse",2
1715,"biffon","the female [notcha] ;; the space between the females vagina and anus ;; the bit the balls biffon during sex",2
1716,"notcha","Also known as taint, grudle, and several other names.",2
1717,"jimmah","A word uncommonly used after the year 1864 to describe something which is [unclean] or [cheap]. Although rarely said anymore, the word is still in use in rural areas of Australia and New Zealand.",2
1718,"SniperBaiT","Your god. 'Elite Hacker of the game Counter-Strike'. A person who 'pwnz your bonez'",2
1719,"bangin","Term used to describe an attractive female.",2
1720,"cocksucker","A person who sucks big mighty penis",2
1721,"evilpoonani","A sexy manbeast. Give him your lovin'!",2
1722,"nem0r","i r nem0r ;; i r own j00 ;; i r shag ur sister with a 12 inch black rubber cock ;; i r teh 1337!",2
1723,"nem0r","I R GHEY",2
1724,"patri0t","erm... ;; the person thats owns ka0s and he gets scared and cries !!",2
1725,"spahzmo","complete retard, lacks ability to do anything, likes wiggling in its wheelchair",2
1726,"hadoken","Means something like 'Surge Fist' in Japanese. Is a fireball used by Ryu and Ken in Street Fighter.",2
1727,"hadouken","See [hadoken] .",2
1728,"shoryuken","Also known as a Dragon Punch. Used by Ryu and Ken in Street Fighter.",2
1729,"samurai","Ancient Japanese warrior, usually sword-wielding.",2
1730,"shuriken","A four-pointed, star-shaped object used by ninja.",2
1731,"mud nut","To achieve ejaculation within the anus of another.",2
1732,"klingon","A piece of dung or excrement clinging to hair around the anus. See also dingleberries, dangleberries, dillberries, clinkers, winnets and wittens, bum tags, chuff-nu",2
1733,"hansel and gretel","A class of excrement which leaves a telltale spiral trail around the toilet bowl as it drains, so that it might find its way back home.",2
1734,"ho's your daddy","when you're laying the smackdown on the ol' lady and she is screaming out your name",2
1735,"sport","(Aus.) similar term to 'mate' or 'pal'.",2
1736,"g'day","(Aus.) Possibly shortened form of 'good day', but can be used in place of 'hello' or 'hi'.",2
1737,"Rin Tin Tin","A dog, similar to Lassie.",2
1738,"whupass","(Us.) The process of 'whupping someone's ass' (beating them, usually in combat). Can be used in the term 'can of whupass'.",2
1739,"bum burglar","see [turd burglar].",2
1740,"rocket jump","The process of using rockets to achieve added height when jumping in a game of Quake.",2
1741,"bfg","Stands for 'Big Fucking Gun'. A powerful weapon in the Doom and Quake series.",2
1742,"bfg","Stands for 'Big Friendly Giant'. A popular character from a book by the author Roald Dahl.",2
1743,"tamagotchi","Also known as a 'virtual pet', the Tamagochi simulates a virtual creature which can be nurtured like a real animal.",2
1744,"jazz mag","(Eng.) Slang term for pornographic literature.",2
1745,"pukka","Used as an expression of quality - one of the many catchphrases used by celebrity [twat] Jamie Oliver.",2
1746,"nobcheese","See [smegma].",2
1747,"cheesy poofs","A fictional brand of cheese-flavoured snack, eaten by South Park kid Eric Cartman.",2
1748,"beefy logs","A snack eaten in South Park, presumably by Eric Cartman. Also see [cheesy poofs].",2
1749,"cookie dings","A snack eaten in South Park, presumably by Eric Cartman.",2
1750,"snacky cakes","A snack eaten in South Park, presumably by Eric Cartman. Also see [beefy logs], [cookie dings], and [cheesy poofs].",2
1751,"ccg","Stands for 'Collectible Card Game'.",2
1752,"tcg","Stands for 'Trading Card Game'.",2
1753,"belch","Another term for a 'burp', to loudly expel air from the mouth.",2
1754,"hosehead","Variant of 'hoser'.",2
1755,"shizzing","The combination of shitting and pissing out of your anus. Often occurs after mexican food and/or a night of heavy drinking",2
1756,"phew","the phrase commonly used after taking a massive dump",2
1757,"boodissey","a smell that is clearly all of the following mixed: butt - dick - ass - pussy (budissy)",2
1758,"turtle head","what would be call the 'head' of the terd poking out just to annoy you until you make it to the bathroom",2
1759,"crotch fat","The lower part of an obese persons midsection. Often the cause of [movers disease] and [dickydo]",2
1760,"movers disease","When your chest hangs over your drawers",2
1761,"dickydo","when your belly hangs out more then your dickydo",2
1762,"fromundacheese","the sweaty chunks gathered from wiping your hand from your asshole foward, especially after jogging for an hour",2
1763,"speedbag","A shaved scrotum",2
1764,"fivehead","An abnormally large forehead.",2
1765,"funbags","Large breasts",2
1766,"horngry","The disire of foreplay with food.",2
1767,"biffins bridge","The peice of skin between the vagina and anus.",2
1768,"/me slaps you","What to do to Ben",2
1769,"net","Biggest asshole this side of Jupiter",2
1770,"arsebiscuit","A delicous biscuit made from only from the finest ground arses.",2
1771,"ludicrosity","1. A descritpive term used to describe the state of a person, place, thing or event of a particularly ludicrous nature.",2
1772,"pimptology","the science of pimpin'",2
1773,"fur burger","Slang for the female pubic region, usually in relation to cunnilingus.",2
1774,"bearded clam","Slang term for the vagina.",2
1775,"AZN","A short form for asian",2
1776,"Boonanie","A word used to describe pain,pleasure, anger, and happiness. Usually used by little russian biys named Lee Micheal Pronko.",2
1777,"Scratter","Person of limited breeding and finance. Poor white trash.",2
1778,"The Captain","Insertion of the pointer finger in the anus, inducing climax. Can only be practiced on males.",2
1779,"yugi","TEH 1337357 GUY ON WWW.UNDERGROUNDCANDY.NET",2
1780,"percyval","Diablolical demon of speed, capable of reaching speeds of up to 20mph. One who Zoom Zooms with amazing intensity. ;; Emits episodes of crazy cerial shennanigans, desperatley tries to obtain any form of breakfast cerial without reguard to others.",2
1781,"audi","German sports car. Comes in A4, S4, A6, A8, S8, TT, TT Roadster. Very well made and very good looking as well.",2
1782,"untouchable","Unable to be reached.",2
1783,"gyro","radical, bodacious. anything cool.",2
1784,"po mo","short for 'post modern'",2
1785,"Conundrum","n. [Origin unknown.] 1. A kind of riddle based upon some fanciful or fantastic resemblance between things quite unlike; a puzzling question, of which the answer is or involves a pun. ;; Or pun ambiguous, or conundrum quaint. --J. Philips. ;; 2. A question to which only a conjectural answer can be made.",2
1786,"super fly hobo slipping","an urban sport in which players dress up like flamboyant 70's pimps and try to steer greased hobos through an 'obstacle course.' (most often a mall or department store) extra points are awarded to players who engage in business transactions with bystanders who mistake them for real pimps.",2
1787,"frap","To strike the heel of your hand to the forehead of another person. ;; Secondary Definition: hot pink (color)",2
1788,"newbie (n00b)","A new beginner. ;; One who is new to something. ;; New comer. ;; New user.",2
1789,"Sucker","A person that has been tricked into something. ;; A gullible person.",2
1790,"Geezer","An old person.",2
1791,"my BAD","when you do something wrong",2
1792,"jb","see: [o_O] , [JayBee]",2
1793,"Penis Bitilitis","An affliction in which the one giving a hummer has teeth that are somehow too big.",2
1794,"shubs","Shubs is a girl that stands up dope latino lovers because they're so insecure that they don't realize SHIT. YA HEard.",2
1795,"tenaqular","super, a-okay.",2
1796,"smoove","",2
1797,"gubernataculosis","ass hair spontaneously braiding itself. (not pubic.)",2
1798,"tripping the light fantastic","to dance.",2
1799,"ultimullet","a mullet haircut so extreme that it is nearly shaved on the top and sides and the back extends down past the wearer's ass. can also be used to describe the wearer.",2
1800,"scrog","v. - to fuck ;; adj. - (scrog, scroggy) affected by recent sex",2
1801,"hugo","to slurr all of the words in a sentence into one word. also to drop vital consanants from words.",2
1802,"barefoot","fuckin someone without pertection",2
1803,"tha biz","greg's pimped out 93 buick le sabre",2
1804,"sneed","A hoe.",2
1805,"man boobs","chris' massive man tits",2
1806,"pimp","a young boy who has sex with older women.",2
1807,"d'oh","an expression after one has done a stupid thing",2
1808,"Bargardi","A yeti or sasquatch with an extremely large ball sack!",2
1809,"Sasquatch","An extremely large and hairy animal; usually found in Lebanon",2
1810,"Hogwash","A load of BULLSHIT!!!",2
1811,"i have no words to use so...","<marquee>I AM OUT OF WORDS</marquee>",2
1812,"Honk","Something you can yell at any occasion that you choose... i mean it works for me!",2
1813,"2 litre of faygo","2 litres of a delicious beverage with shiteloads of flavours. Try dat shit!",2
1814,"deathwank","suicidal masturbation.",2
1815,"negrox","A black ox.",2
1816,"shark","A variation on the [shocker], with the addition of a 'fin' - the thumb, also known as the roamer, used to stroke the clitoris.",2
1817,"Trill","Meaning to be street/tough",2
1818,"bizznitch","Basically just the word Bitch with izz added to it. See also [Shizznit]",2
1819,"Shizznit","Just the word shit with an izz added. See [bizznitch]",2
1820,"whut","Basically this just means what",2
1821,"homie","Shortened version of homeboy, homeboy being your close friend",2
1822,"wifebeater","A white sleaveles t-shirt also referred to as a muscle shirt or singlet.",2
1823,"prolly","American for probably.",2
1824,"jeaun","n. (New Iowan Philadephic) 1. That which things might be 'up in.' ;; 2. Any thing which could be found 'up in' any other thing. ;; 3. House, crib, pad. ;; 4. A marijuana cigarette ;; 5. Any thing, esp. one for which the proper name is either understood or irrelevant.",2
1825,"actor","someone acting like something there not.",2
1826,"transformer","someone who flips camps",2
1827,"bia bia","punk,pussycat.",2
1828,"jake","the police.",2
1829,"jiggers","An exclamation - expression of surprise.",2
1830,"boo-urns","An expression of frustration or dissappointment with a particular outcome, most often in reply to a statement made by someone else. ;; Alternate meaning: Burns (proper name).",2
1831,"trippin","or 'trippin'' ;; or 'tripping' ;; or 'trippin', yo' ;; v. 1. to kid, joke. 2. to be out of one's mind. 3. to interfere or get in the way of another",2
1832,"nerd","An individual persecuted for his superior skills or intellect, most often by people who fear and envy him.",2
1833,"ends","n. financial resources. Money.",2
1834,"hook up","v. To provide or return.",2
1835,"smack down","n. Physical violence. A severe beating.",2
1836,"brother","n. Comrade. Companion. Friend. Typically used by and to individuals of african american heritage.",2
1837,"brutha","see [brother]",2
1838,"crew","n. Companions. Peer Group.",2
1839,"braws","n. See [crew] or [brother]",2
1840,"shitter","Slang term for anus, or rectum.",2
1841,"apples and pears","Cockney rhyming slang for 'stairs'.",2
1842,"plates of meat","Cockney rhyming slang for 'feet'.",2
1843,"two and eight","Bingo slang for '28'.",2
1844,"two fat ladies","Bingo slang for '88'.",2
1845,"key in the door","Bingo slang for '21'.",2
1846,"voting age","Bingo slang for '18'.",2
1847,"aqua-fresh","During rear-entry intercourse, the receptive partner defecates on the retracting penis of the superior partner, spreading feces like toothpaste on a toothbrush. The teeth can then be brushed if desired.",2
1848,"fag","A cigarette. ;; (British)",2
1849,"turntablism","Mixin' some good vinyls; behind the wheels of steel.",2
1850,"int.","internet",2
1851,"most def","most definitely",2
1852,"a/s/l","age / sex / location",2
1853,"plastique","A piece of plastic which has been wanker onto several times.",2
1854,"yahnawahimean","ya know what i mean",2
1855,"bejesus","a term that can be used with just about any phrase to add emphasis",2
1856,"lo","Used to draw attention to something.",2
1857,"Queef","A vaginal flatulent.",2
1858,"salty","pissed, upset",2
1859,"hustla","A real pimpin money grubber collecting credit card #s for fun and cash, lots and lots of cash",2
1860,"Neener-neener","Phrase meant in tease, usually said while tickling another.",2
1861,"oopsie","While farting really hard, the accidental release of fecal matter into your pants.",2
1862,"moggie","A cat (esp. in UK or Australia); generally equivalent to Am. term 'mutt'",2
1863,"Hoon it","To put ones foot down whilst driving a fast vehicle",2
1864,"shiznit","Noun: synonym or 'stuff' or 'items'",2
1865,"Crapulence","to be giddy, jovial, and utterly utterly wasted. Acceptable intoxicants are booze, drugs or nutmeg",2
1866,"kooshlin","Anything soft furry or spongy, suitable for sleeping or resting on.",2
1867,"BOO-urns","1)Derivitive of boo, exclamation of negative feelings towards situation, item, person, or comment. ;; 2)Shouted in suport of Mr. Burns, while in a mob of onlookers",2
1868,"poodglin","The small belly section, below the belly button of a considerably fit woman. Sought after in females.",2
1869,"Tdot","Appropriate slang reference to city of Toronto, Ontario, Canada or immediate surrounds. ;; note:may or may not be preceded by 'the'",2
1870,"bonk","1)referance the act of sexual intercourse ;; 2)to bump into or hit ;; 3)old video game, featuring bald prehistoric boy, that killed enemies by head butting",2
1871,"fowdie","slang for '40' which is slang for a 40 ounce bottle of malt liqour",2
1872,"Jerkenshit","An exclamation - expression of sudden frustration or anger.",2
1873,"bangs","good, unigue fighting moves",2
1874,"wendys","Stoner Food Fast Food.... its sooo good when u have the THC in ur body, u freak out yummy",2
1875,"chittlin","Them nasty ass, funky intestines of a hog that funk up da whole house....but some people like dem with hot sauce ;; Funkolicious.",2
1876,"slate","to slate = to cuss, to insult ;; a slate = an insult",2
1877,"Tusken","Scaly from liverpool area. Screachs like a sandperson wearing standardised uniform (rockport, trackies, crocidiles)",2
1878,"pigfucker","a person who fucks pigs",2
1879,"pooning","to sit at home and masturbate, on a perfectly good evening for going out and having fun.",2
1880,"chin-wa","Money. Or the most common form of currency/capital",2
1881,"digs","To get sexual action from someone/thing.",2
1882,"pooner","A person who sits at home (on a perfectly good evening for going out) and masturbates.",2
1883,"schemie","[British] ;; One who hails from a council estate. Can be spotted in the wild by their traditional garb of baseball cap, tracksuit and Reebok Classics, and their native mating call of 'C'mon man, jus 'gis a [fag] c'mon man just wan, fuckinnnnnnnnnn' just wan fag man, c'mon ya tight cunt, fuckinnnnnnnn''. ;; A common rodent in Scotland and Northern England.",2
1884,"bullshit","Things said that have little to no bearing to reality and/or the truth.",2
1885,"Nerobia","A man of pure genius.",2
1886,"walk of shame","It is the morning after you have slept with a pig and have to leave her place and walk out and be seen by all.",2
1887,"The Tony Danza","Similar to the 'donkey punch' where a sharp blow is delivered to the back of a woman's head during anal intercourse to relax the anus but at the moment of impact the phrase 'Who's The BOSS??' is yelled.",2
1888,"tyreed","Discriptive device refering to the degree of exhaustion, the greater the number of ee's relates to amount of tiredness",2
1889,"stupids","The fuzzy headed feeling left after a period of inebriation",2
1890,"nards","1.Reference to testicles, or bravado. ;; 2.Expletive, expressing ones dissapointment with a situation",2
1891,"smrt","Derogitory opposing form of 'smart', as if to say stupid. Used on chat or IM where expression of the concept would take many characters.",2
1892,"diesel","A street term for heroin.",2
1893,"stankondadownlo","to get vaginal fluids on ones penis i.e. to get laid without condom",2
1894,"goo goobler","Noun. One who loves to eat, swallow or guzzle loads of semen.",2
1895,"off tha rip","slammin', mad phat",2
1896,"pert near","really really really close.",2
1897,"Panty Waste","A weak male born with a great deal of female traits but with just enough male traits to get him into the boys locker room.",2
1898,"Dabbler","One who is in the process of discovering his/her homosexuality.",2
1899,"riley","Another name for a Black & Mild, or flavored cigar.",2
1900,"Cock Lubber","1) Taken from the phrase 'Land Lubber,' often used by sailors and pirates in Disney movies to describe genuine f4990ts. ;; 2) One who loves the cock. ;; 3) One who loves the cock with an undying passion, so much that he would die rather than see the fall of the omnipotent cock.",2
1901,"l33t","Hacker slang for 'Elite' shortened to 'LEET' from '31337' wich is actually 'ELITE'.",2
1902,"BLT","Bacon Letus and Tomato",2
1903,"TNA","Tits and Ass. Two of the three best parts on a woman.",2
1904,"weener","George W. Bush",2
1905,"size queen","a woman..(or man) that likes large penis.",2
1906,"quayjob","a blowjob from someone with no teeth, or someone who has had thier teeth knocked out violently",2
1907,"pwn3d","being owned",2
1908,"Hung","To have a large penis.",2
1909,"hobag","ho",2
1910,"assclown","1. A person who, while under the influence, makes a complete fool of himself while attempting humor. An assclown may wear an [word]asshat[/word]. ;; 2. A person who, while making a serious attempt as something, fails to realize what a complete fool he has made of himself. ;; 3. An untalented schmuck.",2
1911,"cnut","A corruption of a slang term for a lady's part, often applied to a foolish person or sometimes as epithet.",2
1912,"fwah","shit, poop, caca, #2, etc..",2
1913,"fuck a duck","oh shit",2
1914,"dirt dog","The act of having anal sex, but withdrawing the cock before ejaculating and having your partner lick all the fecal matter off before blowing your load on their face.",2
1915,"'B'","'Bitch' especially when used by persons with the name 'Amit', and especially when used in phrases like 'aiight B.'",2
1916,"snaff","The noise you make from your nose when you dont agree with what is done or said.A quick expulsion of air commonly used in conjunction with a menacing frown, crinkled eye brows and sarcastic retort. >=/ A sort of combination of snort and sniff.",2
1917,"idk","i dont know",2
1918,"graffiti","To paint, mark or scratch on a public or private surface.",2
1919,"ozzy","the godfather of all metal",2
1920,"cheap","Also known as cheesy, and used in video games (particularly fighting games).. denotes deliberately repetitive tactics (e.g. repeated use of a particular special move, or just hitting the buttons repeatedly).",2
1921,"cheesy","See [cheap].",2
1922,"own","To be l33ter than someone or something. To be better. To own. To rape.",2
1923,"Rape","To beat someone at something, very easily.",2
1924,"r6","A shortform for Rainbow Six. A Tom Clancey game, in which MF owns all.",2
1925,"Bitch Tits","When a man has large, woman-like breasts.",2
1926,"Bong Water","The water inside a water bong. Resinated very much. Full of THC.",2
1927,"Bunnyhop","a method of gaining speed in First person shooters. Often confused with 'hacks'",2
1928,"cock","a penis",2
1929,"Frienemy","A friend, but also an enemy (confused saying)",2
1930,"chloscar","a saying of love",2
1931,"foui","Full Of Useless Information",2
1932,"ktfo","Acronym : Knocked The Fuck Out! ;; Used mainly in internet chat",2
1933,"ttt","Acronym : To The Top ;; This is mainly used in discussion boards where you bring your thread back up to the top so others may see it and can respond.",2
1934,"awesome possum","A phrase equivalent to 'spiffy' or 'neat.' It is best used as a sentence by itself or with 'yo' immediately following.",2
1935,"spiffirific","A combination of spiffy and terrific. It is best used in short sentences or as a sentence unto itself.",2
1936,"oh mylanta","This odd phrase is similar to 'oh my land,' with the interesting addition of hailing the stomach-acid-reducing medicine.",2
1937,"color","mood as given by the association with a color...for example, yellow = happy, blue = sad or emotional, red = angry or passionate.",2
1938,"otaku","fanatic; this Japanese word is used in the common language of anime fans to denote themselves.",2
1939,"big pimpin","wicked cool.",2
1940,"sweetness","A noun a level up from 'sweet.' Best used in a short sentence or as a sentence by itself.",2
1941,"dell holiday n00b","someone who has a poster of that Dell guy who makes an ass of himself on those commercials, B",2
1942,"Candy Ass","A man who enjoys wearing panties and prancing about like sissy.",2
1943,"2 litre of faygo","cheap shitty soda",2
1944,"Gock","Male gunt",2
1945,"Skank ho bitch whore",";one who does not wash ones crisco like scalp ;; ;One whom is a skank and a bitch and a ho and a whore all at one ;; ;One whom has dated every unatractive deadbeat fucktard male in the history of time ;; ;One whom is named LITSA!",2
1946,"pop music","Music that is usually used in order to make ones ears bleed",2
1947,"Fantasmic","If you use this word you are definitly a single nerd",2
1948,"Nut Huggers","A tight ass bathing suit ie: a speedo",2
1949,"religion","a man made beleif used to make people completely pathetic",2
1950,"Loc","crazy, wild, or strange.",2
1951,"Underground","Opposite of aboveground, kthanks.",2
1952,"hat","An article of clothing designed for ones head.",2
1953,"bat","1. A small-flying rodent. ;; 2. A long-slender generally wooden object used for the bashing of knees and other important appendages.",2
1954,"rug","The fake hair-piece that an old, bald individual would wear.",2
1955,"sheezi","sure",2
1956,"cheese","A solid food prepared from the pressed curd of milk, often seasoned and aged.",2
1957,"spankadellic","Awesome. Fancy.",2
1958,"shitty pants","One who defecates in their own pants. Forever labeled 'Shitty Pants'. A label in which few are given. This label is not one that is generally liked by the wearer. Because people know just from the name, there is a slight chance you may, infact shit your pants while in their company. And once people think this, there is no real way for anyone to feel comforatable in your presence. Perhaps after time the label will loose its weight, but the half-life of this label rivals that of Uranium 235.",2
1959,"fucker","Debtor.",2
1960,"craptacular","craptacular. adj. 1. an extremely sarcastic description of an undesireable object, state, or predicament. ;; Origin: combination of the words crap and spectacular to form a one-word cynical remark.",2
1961,"spanish fly","Aphrodesiacal elixr made from the crushed body parts of the blister beetles Cantharis vesicatoria or Lytta vesicatoria. Purported to arouse those that ingest it. Toxic in large quantities. ;; Any arousal stemming from Spanish Fly is mild and not at all like the Beastie Boys would have you believe.",2
1962,"pink taco","Vagina.",2
1963,"fark","1. Cyber-plaza where stories, comments, individuality and creativity are promoted. ;; 2. Hang out for sociophobes, psychopaths, perverts, losers, [4ax0r]s, [l33t]s, kittys and Admiral Ackbar. ;; 3. A good waste of bandwidth.",2
1964,"farker","1. Possessing a deviant mind. ;; 2. Reads [fark].",2
1965,"jugz","large containers [usually water]; female breasts",2
1966,"who`","just a fun lil pal.",2
1967,"Penis Trays","Fun little items. Perfect for BBQ's.",2
1968,"chunder","Vomit; generally chunky in nature.",2
1969,"donor machine","Motorcycle.",2
1970,"alternateen","A teenager who, in an attempt to break societal norms and quotas, dresses, acts, and listens to the same 'alternative' music as the majority of other disgruntled teenagers. Piercings, unnaturally colored hair, band t-shirts and a general air of angst and contempt are usually required.",2
1971,"jugged","1. To be deceived or tricked.",2
1972,"LapTastic","1. An [asshat]. ;; 2. A [jug]. ;; 3. A person who lives in Boston.",2
1973,"cumdrop","When cum drips out of a pussy usually in the form of a drop",2
1974,"electroneuromyography","Long ass word.",2
1975,"jug","1. A person who has been [jugged].",2
1976,"jug","1. A crackhead or baser. ;; 2. A person tricked into working for free.",2
1977,"baser","1. A synonym for [jug].",2
1978,"Baser","one who uses crack cocaine and other addictive drugs.",2
1979,"talkin","when a person is talkin Bullshit; or just isnt making sense",2
1980,"pipe","1: rope, cool, tight, bomb, rad, awesome. ;; 2: thing water (or something) runs through",2
1981,"cinemuck","the collection of goopy stuff on the movie theater floor",2
1982,"tart cart","bus used to bring mentally challenged kids to school",2
1983,"linux","An OS that rarely crashes, runs on most hardware (yes, even that 486 you can get cheap from a blowout sale), and is the thing the Beast of Redmond (Microsoft) fears most. It's also the cheapest OS you'll ever buy.",2
1984,"Pootnanny","A womens vaginia better known as a pussy",2
1985,"Peter Puffer","Someone who likes to suck dick",2
1986,"Pussy Pumper","Someone who likes to fuck pussy",2
1987,"Cock Sucker","Someone who loves to suck cock",2
1988,"Knowledge","Head",2
1989,"ass-load","n 1. a great quantity. Generally accepted to exceed a butt-load.",2
1990,"baked","adj 1. under the influence of marijuana; STONED.",2
1991,"blow chunks","v 1. to vomit.",2
1992,"perma-fried","v 1. to appear as if on drugs, even though one is sober.",2
1993,"napalm","n. 1. A sticky, flamable substance. When used in bombs, the explosion covers the surrounding area in napalm.",2
1994,"nuts","n 1. testicles.",2
1995,"good from far but far from good","An instance when a female looks good from a distance. Soon to find out they are one ugly bitch, up close.",2
1996,"meth-monster","Person who has a violent reaction to methamphetamine.",2
1997,"Punisher","Two in the stink and one in the pink. Insert one finger in to the vagina and two in to the anus.",2
1998,"mushroomhead","a good band.",2
1999,"blast a dump","To shit. Usually a short explosion of fecal matter.",2
2000,"grump","A particulary difficult yet ultimately satisfying bowel movement.",2
2001,"peness","A clitoris that has through a medical procedure been streched out to act as a small penis. Usually part of a sex change operation.",2
2002,"finish off the list","To masturbate, usually with male connotations.",2
2003,"yarr","An interjection. Can be used in nearly any sense, to convey any manner of emotion or simply waste breath and fill up blank space in a conversation. Derives its origin from the 'yarr' used by pirates during the Golden Age of Piracy during the 1500s to 1700s and appropriated from there.",2
2004,"jugged","1. To fall for a trap.",2
2005,"wooby","The thing you say at the time when you do the thing.",2
2006,"retoid","a tweaked version of the word 'retard'",2
2007,"geigh","plunt of homo",2
